iter	Passed	Remaining
0	61	61024
1	61	30632
2	61	20506
3	61	15433
4	62	12395
5	62	10373
6	62	8927
7	63	7838
8	63	7006
9	64	6338
10	64	5800
11	64	5351
12	65	4958
13	65	4620
14	65	4326
15	66	4080
16	66	3854
17	66	3654
18	67	3475
19	67	3316
20	68	3172
21	68	3039
22	68	2916
23	69	2807
24	69	2708
25	69	2617
26	70	2529
27	70	2448
28	70	2371
29	71	2300
30	71	2232
31	71	2169
32	72	2110
33	72	2056
34	72	2003
35	72	1953
36	73	1906
37	73	1861
38	73	1819
39	74	1778
40	74	1739
41	74	1701
42	74	1666
43	75	1632
44	75	1600
45	75	1570
46	75	1540
47	76	1511
48	76	1485
49	76	1462
50	77	1438
51	77	1414
52	78	1393
53	78	1371
54	78	1351
55	79	1333
56	79	1314
57	80	1302
58	80	1285
59	80	1268
60	81	1251
61	81	1234
62	81	1218
63	82	1202
64	82	1188
65	83	1175
66	83	1161
67	83	1147
68	84	1133
69	84	1120
70	84	1106
71	84	1094
72	85	1082
73	85	1069
74	85	1057
75	86	1045
76	86	1034
77	86	1022
78	86	1012
79	87	1001
80	87	991
81	87	981
82	87	969
83	88	959
84	88	950
85	88	941
86	88	932
87	89	923
88	89	915
89	89	907
90	90	899
91	90	891
92	90	883
93	90	875
94	91	869
95	91	862
96	91	855
97	92	848
98	92	841
99	92	834
100	93	828
101	93	822
102	93	816
103	94	810
104	94	806
105	94	800
106	95	799
107	96	793
108	96	787
109	96	782
110	97	777
111	97	771
112	97	766
113	97	760
114	98	755
115	98	750
116	98	744
117	99	740
118	99	737
119	100	733
120	100	728
121	100	723
122	100	718
123	101	714
124	101	709
125	101	704
126	101	699
127	102	695
128	102	690
129	102	686
130	102	682
131	103	678
132	103	673
133	103	669
134	103	665
135	104	661
136	104	657
137	104	653
138	104	649
139	105	646
140	105	642
141	105	637
142	105	634
143	106	631
144	106	628
145	106	625
146	107	622
147	107	618
148	107	615
149	108	612
150	108	609
151	108	605
152	108	603
153	109	600
154	109	597
155	110	595
156	110	592
157	110	590
158	111	588
159	111	586
160	111	583
161	112	581
162	112	578
163	112	575
164	113	573
165	113	571
166	114	569
167	114	566
168	114	564
169	115	561
170	115	559
171	115	556
172	116	554
173	116	552
174	116	549
175	116	546
176	117	544
177	117	541
178	117	539
179	117	537
180	118	534
181	118	532
182	118	530
183	119	527
184	119	525
185	119	523
186	119	521
187	120	518
188	120	517
189	120	515
190	121	512
191	121	511
192	121	509
193	122	506
194	122	504
195	122	502
196	122	500
197	123	498
198	123	496
199	123	494
200	123	492
201	124	490
202	124	488
203	124	486
204	125	485
205	125	484
206	125	482
207	126	480
208	126	479
209	126	477
210	127	475
211	127	474
212	127	472
213	128	471
214	128	469
215	128	468
216	129	466
217	129	465
218	129	463
219	130	461
220	130	460
221	130	458
222	131	456
223	131	455
224	131	453
225	131	451
226	132	450
227	132	448
228	132	447
229	133	445
230	133	443
231	133	442
232	133	440
233	134	439
234	134	437
235	134	435
236	134	434
237	135	432
238	135	431
239	135	429
240	136	428
241	136	427
242	136	426
243	137	425
244	137	423
245	137	422
246	138	421
247	138	419
248	138	418
249	138	416
250	139	415
251	139	414
252	140	413
253	140	412
254	140	411
255	141	410
256	141	408
257	141	407
258	142	406
259	142	405
260	142	403
261	142	402
262	143	401
263	143	399
264	143	398
265	143	397
266	144	395
267	144	394
268	144	393
269	145	392
270	145	391
271	145	389
272	145	388
273	146	387
274	146	386
275	146	385
276	147	384
277	147	383
278	147	381
279	148	380
280	148	379
281	148	378
282	148	377
283	149	376
284	149	374
285	149	373
286	150	372
287	150	371
288	150	370
289	150	369
290	151	368
291	151	367
292	151	365
293	151	364
294	152	364
295	152	362
296	152	361
297	153	360
298	153	359
299	153	358
300	153	357
301	154	356
302	154	355
303	154	354
304	155	353
305	155	352
306	155	351
307	156	350
308	156	349
309	156	348
310	156	347
311	157	346
312	157	345
313	157	344
314	158	343
315	158	342
316	158	341
317	158	340
318	159	339
319	159	338
320	159	337
321	160	337
322	160	336
323	160	335
324	160	334
325	161	333
326	161	332
327	161	331
328	162	330
329	162	329
330	162	328
331	162	327
332	163	327
333	163	326
334	163	325
335	164	324
336	164	323
337	164	322
338	165	321
339	165	320
340	165	319
341	165	319
342	166	318
343	166	317
344	166	316
345	166	315
346	167	314
347	167	313
348	167	313
349	168	312
350	168	311
351	168	310
352	168	309
353	169	308
354	169	307
355	169	306
356	169	306
357	170	305
358	170	304
359	170	303
360	171	303
361	171	302
362	171	301
363	171	300
364	172	299
365	172	298
366	172	298
367	173	297
368	173	296
369	173	295
370	174	295
371	174	294
372	174	293
373	174	292
374	175	291
375	175	291
376	175	290
377	175	289
378	176	288
379	176	288
380	176	287
381	177	286
382	177	285
383	177	285
384	178	284
385	178	283
386	178	282
387	178	282
388	179	281
389	179	280
390	179	279
391	179	279
392	180	278
393	180	277
394	180	276
395	181	276
396	181	275
397	181	274
398	181	273
399	182	273
400	182	272
401	182	271
402	182	271
403	183	270
404	183	269
405	183	268
406	184	268
407	184	267
408	184	266
409	184	265
410	185	265
411	185	264
412	185	264
413	186	263
414	186	262
415	186	261
416	186	261
417	187	260
418	187	259
419	187	259
420	187	258
421	188	257
422	188	257
423	188	256
424	189	255
425	189	255
426	189	254
427	189	253
428	190	253
429	190	252
430	190	251
431	191	251
432	191	250
433	191	249
434	191	249
435	192	248
436	192	247
437	192	247
438	193	246
439	193	246
440	193	245
441	194	245
442	194	244
443	194	243
444	195	243
445	195	242
446	195	242
447	196	241
448	196	241
449	196	240
450	196	239
451	197	239
452	197	238
453	197	237
454	198	237
455	198	236
456	198	236
457	198	235
458	199	234
459	199	234
460	199	233
461	200	233
462	200	232
463	200	231
464	201	231
465	201	230
466	201	230
467	202	229
468	202	229
469	202	228
470	202	227
471	203	227
472	203	226
473	203	226
474	204	225
475	204	225
476	204	224
477	204	223
478	205	223
479	205	222
480	205	222
481	206	221
482	206	220
483	206	220
484	206	219
485	207	219
486	207	218
487	207	217
488	208	217
489	208	216
490	208	216
491	208	215
492	209	215
493	209	214
494	209	213
495	209	213
496	210	212
497	210	212
498	210	211
499	211	211
500	211	210
501	211	210
502	212	209
503	212	209
504	212	208
505	212	207
506	213	207
507	213	206
508	213	206
509	213	205
510	214	205
511	214	204
512	214	203
513	215	203
514	215	202
515	215	202
516	216	201
517	216	201
518	216	200
519	217	200
520	217	199
521	217	199
522	217	198
523	218	198
524	218	197
525	218	197
526	219	196
527	219	196
528	219	195
529	219	194
530	220	194
531	220	193
532	220	193
533	221	192
534	221	192
535	221	191
536	221	191
537	222	190
538	222	190
539	222	189
540	223	189
541	223	188
542	223	188
543	223	187
544	224	187
545	224	186
546	224	186
547	224	185
548	225	184
549	225	184
550	225	183
551	225	183
552	226	182
553	226	182
554	226	181
555	227	181
556	227	180
557	227	180
558	227	179
559	228	179
560	228	178
561	228	178
562	229	177
563	229	177
564	229	176
565	229	176
566	230	175
567	230	175
568	230	174
569	230	174
570	231	173
571	231	173
572	231	172
573	232	172
574	232	171
575	232	171
576	233	171
577	233	170
578	233	170
579	234	169
580	234	169
581	234	168
582	235	168
583	235	167
584	235	167
585	235	166
586	236	166
587	236	165
588	236	165
589	236	164
590	237	164
591	237	163
592	237	163
593	238	162
594	238	162
595	238	161
596	239	161
597	239	160
598	239	160
599	239	159
600	240	159
601	240	159
602	240	158
603	241	158
604	241	157
605	241	157
606	242	156
607	242	156
608	242	155
609	242	155
610	243	154
611	243	154
612	243	153
613	244	153
614	244	152
615	244	152
616	244	152
617	245	151
618	245	151
619	245	150
620	246	150
621	246	149
622	246	149
623	247	148
624	247	148
625	247	147
626	247	147
627	248	147
628	248	146
629	248	146
630	249	145
631	249	145
632	249	144
633	250	144
634	250	143
635	250	143
636	250	142
637	251	142
638	251	142
639	251	141
640	251	141
641	252	140
642	252	140
643	252	139
644	253	139
645	253	138
646	253	138
647	254	138
648	254	137
649	254	137
650	254	136
651	255	136
652	255	135
653	255	135
654	256	134
655	256	134
656	256	134
657	257	133
658	257	133
659	257	132
660	258	132
661	258	131
662	258	131
663	258	131
664	259	130
665	259	130
666	260	129
667	260	129
668	260	129
669	261	128
670	262	128
671	262	128
672	263	127
673	263	127
674	264	127
675	264	126
676	264	126
677	265	125
678	265	125
679	266	125
680	266	124
681	266	124
682	267	124
683	267	123
684	268	123
685	268	122
686	269	122
687	269	122
688	269	121
689	269	121
690	270	120
691	270	120
692	270	120
693	271	119
694	271	119
695	272	118
696	272	118
697	272	118
698	273	117
699	273	117
700	273	116
701	274	116
702	274	116
703	275	115
704	275	115
705	275	114
706	276	114
707	276	114
708	277	113
709	277	113
710	277	112
711	278	112
712	278	112
713	279	111
714	279	111
715	279	111
716	280	110
717	280	110
718	280	109
719	281	109
720	281	108
721	281	108
722	282	108
723	282	107
724	282	107
725	282	106
726	283	106
727	283	105
728	283	105
729	284	105
730	284	104
731	284	104
732	285	103
733	285	103
734	285	103
735	286	102
736	286	102
737	286	101
738	286	101
739	287	100
740	287	100
741	287	100
742	288	99
743	288	99
744	288	98
745	288	98
746	289	97
747	289	97
748	289	97
749	290	96
750	290	96
751	291	95
752	291	95
753	291	95
754	292	94
755	292	94
756	292	93
757	293	93
758	293	93
759	293	92
760	294	92
761	294	91
762	294	91
763	295	91
764	295	90
765	295	90
766	295	89
767	296	89
768	296	89
769	296	88
770	297	88
771	297	87
772	297	87
773	297	87
774	298	86
775	298	86
776	298	85
777	299	85
778	299	84
779	299	84
780	299	84
781	300	83
782	300	83
783	300	82
784	301	82
785	301	82
786	301	81
787	302	81
788	302	80
789	302	80
790	302	80
791	303	79
792	303	79
793	303	78
794	303	78
795	304	77
796	304	77
797	304	77
798	305	76
799	305	76
800	306	76
801	306	75
802	306	75
803	307	74
804	307	74
805	307	74
806	308	73
807	308	73
808	309	72
809	309	72
810	309	72
811	310	71
812	310	71
813	310	70
814	310	70
815	311	70
816	311	69
817	311	69
818	312	68
819	312	68
820	312	68
821	312	67
822	313	67
823	313	66
824	313	66
825	314	66
826	314	65
827	314	65
828	315	64
829	315	64
830	315	64
831	315	63
832	316	63
833	316	62
834	316	62
835	317	62
836	317	61
837	317	61
838	318	61
839	318	60
840	318	60
841	318	59
842	319	59
843	319	59
844	320	58
845	320	58
846	320	57
847	321	57
848	321	57
849	322	56
850	322	56
851	323	56
852	323	55
853	323	55
854	324	54
855	324	54
856	324	54
857	325	53
858	325	53
859	325	53
860	326	52
861	326	52
862	326	51
863	326	51
864	327	51
865	327	50
866	327	50
867	328	49
868	328	49
869	328	49
870	328	48
871	329	48
872	329	47
873	329	47
874	330	47
875	330	46
876	330	46
877	330	45
878	331	45
879	331	45
880	331	44
881	332	44
882	332	44
883	332	43
884	332	43
885	333	42
886	333	42
887	333	42
888	334	41
889	334	41
890	334	40
891	334	40
892	335	40
893	335	39
894	336	39
895	336	39
896	336	38
897	337	38
898	337	37
899	338	37
900	338	37
901	338	36
902	339	36
903	339	36
904	339	35
905	339	35
906	340	34
907	340	34
908	340	34
909	341	33
910	341	33
911	341	32
912	342	32
913	342	32
914	342	31
915	342	31
916	343	31
917	343	30
918	343	30
919	343	29
920	344	29
921	344	29
922	344	28
923	345	28
924	345	28
925	345	27
926	346	27
927	346	26
928	346	26
929	346	26
930	347	25
931	347	25
932	347	24
933	348	24
934	348	24
935	348	23
936	348	23
937	349	23
938	349	22
939	349	22
940	350	21
941	350	21
942	351	21
943	351	20
944	352	20
945	352	20
946	352	19
947	353	19
948	353	19
949	354	18
950	354	18
951	354	17
952	355	17
953	355	17
954	355	16
955	355	16
956	356	16
957	356	15
958	356	15
959	357	14
960	357	14
961	357	14
962	357	13
963	358	13
964	358	13
965	358	12
966	359	12
967	359	11
968	359	11
969	359	11
970	360	10
971	360	10
972	360	10
973	361	9
974	361	9
975	361	8
976	361	8
977	362	8
978	362	7
979	362	7
980	363	7
981	363	6
982	363	6
983	363	5
984	364	5
985	364	5
986	364	4
987	365	4
988	365	4
989	365	3
990	366	3
991	366	2
992	366	2
993	367	2
994	367	1
995	368	1
996	368	1
997	368	0
998	369	0
999	369	0
